"REF_DATE","GEO","DGUID","Airports","Type of power plant","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1997","Canada","2016A000011124","Total, all airports","Jet engines","Number","223","units","0","v41550872","1.1.1","1069321","","","","0"
"1997","Canada","2016A000011124","Total, all airports","Turbo-propellers","Number","223","units","0","v41550873","1.1.2","893872","","","","0"
"1997","Canada","2016A000011124","Total, all airports","Piston engines","Number","223","units","0","v41550874","1.1.3","1172949","","","","0"
"1997","Canada","2016A000011124","Total, all airports","Helicopters","Number","223","units","0","v41550875","1.1.4","169777","","","","0"
"1997","Canada","2016A000011124","Total, all airports","Gliders","Number","223","units","0","v41550876","1.1.5","7843","","","","0"
"1997","Canada","2016A000011124","Abbotsford, British Columbia","Jet engines","Number","223","units","0","v41550877","1.2.1","1808","","","","0"
"1997","Canada","2016A000011124","Abbotsford, British Columbia","Turbo-propellers","Number","223","units","0","v41550878","1.2.2","3220","","","","0"
"1997","Canada","2016A000011124","Abbotsford, British Columbia","Piston engines","Number","223","units","0","v41550879","1.2.3","45936","","","","0"
"1997","Canada","2016A000011124","Abbotsford, British Columbia","Helicopters","Number","223","units","0","v41550880","1.2.4","5774","","","","0"
"1997","Canada","2016A000011124","Abbotsford, British Columbia","Gliders","Number","223","units","0","v41550881","1.2.5","31","","","","0"
"1997","Canada","2016A000011124","Boundary Bay, British Columbia","Jet engines","Number","223","units","0","v41550882","1.3.1","56","","","","0"
"1997","Canada","2016A000011124","Boundary Bay, British Columbia","Turbo-propellers","Number","223","units","0","v41550883","1.3.2","363","","","","0"
"1997","Canada","2016A000011124","Boundary Bay, British Columbia","Piston engines","Number","223","units","0","v41550884","1.3.3","64570","","","","0"
"1997","Canada","2016A000011124","Boundary Bay, British Columbia","Helicopters","Number","223","units","0","v41550885","1.3.4","3630","","","","0"
"1997","Canada","2016A000011124","Boundary Bay, British Columbia","Gliders","Number","223","units","0","v41550886","1.3.5","11","","","","0"
"1997","Canada","2016A000011124","Calgary International, Alberta","Jet engines","Number","223","units","0","v41550887","1.4.1","114589","","","","0"
"1997","Canada","2016A000011124","Calgary International, Alberta","Turbo-propellers","Number","223","units","0","v41550888","1.4.2","64312","","","","0"
"1997","Canada","2016A000011124","Calgary International, Alberta","Piston engines","Number","223","units","0","v41550889","1.4.3","39518","","","","0"
"1997","Canada","2016A000011124","Calgary International, Alberta","Helicopters","Number","223","units","0","v41550890","1.4.4","6122","","","","0"
"1997","Canada","2016A000011124","Calgary International, Alberta","Gliders","Number","223","units","0","v41550891","1.4.5","20","","","","0"
"1997","Canada","2016A000011124","Calgary/Springbank, Alberta","Jet engines","Number","223","units","0","v41550892","1.5.1","59","","","","0"
"1997","Canada","2016A000011124","Calgary/Springbank, Alberta","Turbo-propellers","Number","223","units","0","v41550893","1.5.2","823","","","","0"
"1997","Canada","2016A000011124","Calgary/Springbank, Alberta","Piston engines","Number","223","units","0","v41550894","1.5.3","37758","","","","0"
"1997","Canada","2016A000011124","Calgary/Springbank, Alberta","Helicopters","Number","223","units","0","v41550895","1.5.4","2847","","","","0"
"1997","Canada","2016A000011124","Calgary/Springbank, Alberta","Gliders","Number","223","units","0","v41550896","1.5.5","4","","","","0"
"1997","Canada","2016A000011124","Chicoutimi/St-Honoré, Quebec","Jet engines","Number","223","units","0","v41550897","1.6.1","100","","","","0"
"1997","Canada","2016A000011124","Chicoutimi/St-Honoré, Quebec","Turbo-propellers","Number","223","units","0","v41550898","1.6.2","77","","","","0"
"1997","Canada","2016A000011124","Chicoutimi/St-Honoré, Quebec","Piston engines","Number","223","units","0","v41550899","1.6.3","22116","","","","0"
"1997","Canada","2016A000011124","Chicoutimi/St-Honoré, Quebec","Helicopters","Number","223","units","0","v41550900","1.6.4","4191","","","","0"
"1997","Canada","2016A000011124","Chicoutimi/St-Honoré, Quebec","Gliders","Number","223","units","0","v41550901","1.6.5","13","","","","0"
"1997","Canada","2016A000011124","Edmonton City Centre, Alberta","Jet engines","Number","223","units","0","v41550902","1.7.1","5681","","","t","0"
"1997","Canada","2016A000011124","Edmonton City Centre, Alberta","Turbo-propellers","Number","223","units","0","v41550903","1.7.2","18734","","","t","0"
"1997","Canada","2016A000011124","Edmonton City Centre, Alberta","Piston engines","Number","223","units","0","v41550904","1.7.3","39067","","","t","0"
"1997","Canada","2016A000011124","Edmonton City Centre, Alberta","Helicopters","Number","223","units","0","v41550905","1.7.4","6197","","","t","0"
"1997","Canada","2016A000011124","Edmonton City Centre, Alberta","Gliders","Number","223","units","0","v41550906","1.7.5","31","","","t","0"
"1997","Canada","2016A000011124","Edmonton International, Alberta","Jet engines","Number","223","units","0","v41550907","1.8.1","59610","","","","0"
"1997","Canada","2016A000011124","Edmonton International, Alberta","Turbo-propellers","Number","223","units","0","v41550908","1.8.2","29062","","","","0"
"1997","Canada","2016A000011124","Edmonton International, Alberta","Piston engines","Number","223","units","0","v41550909","1.8.3","12922","","","","0"
"1997","Canada","2016A000011124","Edmonton International, Alberta","Helicopters","Number","223","units","0","v41550910","1.8.4","1530","","","","0"
"1997","Canada","2016A000011124","Edmonton International, Alberta","Gliders","Number","223","units","0","v41550911","1.8.5","6","","","","0"
"1997","Canada","2016A000011124","Edmonton/Villeneuve, Alberta","Jet engines","Number","223","units","0","v41550912","1.9.1","0","","","","0"
"1997","Canada","2016A000011124","Edmonton/Villeneuve, Alberta","Turbo-propellers","Number","223","units","0","v41550913","1.9.2","44","","","","0"
"1997","Canada","2016A000011124","Edmonton/Villeneuve, Alberta","Piston engines","Number","223","units","0","v41550914","1.9.3","11641","","","","0"
"1997","Canada","2016A000011124","Edmonton/Villeneuve, Alberta","Helicopters","Number","223","units","0","v41550915","1.9.4","1636","","","","0"
"1997","Canada","2016A000011124","Edmonton/Villeneuve, Alberta","Gliders","Number","223","units","0","v41550916","1.9.5","189","","","","0"
"1997","Canada","2016A000011124","Gander International, Newfoundland and Labrador","Jet engines","Number","223","units","0","v41550917","1.10.1","10568","","","","0"
"1997","Canada","2016A000011124","Gander International, Newfoundland and Labrador","Turbo-propellers","Number","223","units","0","v41550918","1.10.2","12939","","","","0"
"1997","Canada","2016A000011124","Gander International, Newfoundland and Labrador","Piston engines","Number","223","units","0","v41550919","1.10.3","8899","","","","0"
"1997","Canada","2016A000011124","Gander International, Newfoundland and Labrador","Helicopters","Number","223","units","0","v41550920","1.10.4","2929","","","","0"
"1997","Canada","2016A000011124","Gander International, Newfoundland and Labrador","Gliders","Number","223","units","0","v41550921","1.10.5","60","","","","0"
"1997","Canada","2016A000011124","Halifax/Robert L. Stanfield International, Nova Scotia","Jet engines","Number","223","units","0","v41550922","1.11.1","36704","","","","0"
"1997","Canada","2016A000011124","Halifax/Robert L. Stanfield International, Nova Scotia","Turbo-propellers","Number","223","units","0","v41550923","1.11.2","43811","","","","0"
"1997","Canada","2016A000011124","Halifax/Robert L. Stanfield International, Nova Scotia","Piston engines","Number","223","units","0","v41550924","1.11.3","19219","","","","0"
"1997","Canada","2016A000011124","Halifax/Robert L. Stanfield International, Nova Scotia","Helicopters","Number","223","units","0","v41550925","1.11.4","2228","","","","0"
"1997","Canada","2016A000011124","Halifax/Robert L. Stanfield International, Nova Scotia","Gliders","Number","223","units","0","v41550926","1.11.5","0","","","","0"
"1997","Canada","2016A000011124","Hamilton, Ontario","Jet engines","Number","223","units","0","v41550927","1.12.1","12531","","","","0"
"1997","Canada","2016A000011124","Hamilton, Ontario","Turbo-propellers","Number","223","units","0","v41550928","1.12.2","10655","","","","0"
"1997","Canada","2016A000011124","Hamilton, Ontario","Piston engines","Number","223","units","0","v41550929","1.12.3","25597","","","","0"
"1997","Canada","2016A000011124","Hamilton, Ontario","Helicopters","Number","223","units","0","v41550930","1.12.4","759","","","","0"
"1997","Canada","2016A000011124","Hamilton, Ontario","Gliders","Number","223","units","0","v41550931","1.12.5","34","","","","0"
"1997","Canada","2016A000011124","Kelowna, British Columbia","Jet engines","Number","223","units","0","v41550932","1.13.1","10331","","","","0"
"1997","Canada","2016A000011124","Kelowna, British Columbia","Turbo-propellers","Number","223","units","0","v41550933","1.13.2","20939","","","","0"
"1997","Canada","2016A000011124","Kelowna, British Columbia","Piston engines","Number","223","units","0","v41550934","1.13.3","16646","","","","0"
"1997","Canada","2016A000011124","Kelowna, British Columbia","Helicopters","Number","223","units","0","v41550935","1.13.4","1550","","","","0"
"1997","Canada","2016A000011124","Kelowna, British Columbia","Gliders","Number","223","units","0","v41550936","1.13.5","4","","","","0"
"1997","Canada","2016A000011124","Kitchener/Waterloo, Ontario","Jet engines","Number","223","units","0","v41550937","1.14.1","1263","","","","0"
"1997","Canada","2016A000011124","Kitchener/Waterloo, Ontario","Turbo-propellers","Number","223","units","0","v41550938","1.14.2","2113","","","","0"
"1997","Canada","2016A000011124","Kitchener/Waterloo, Ontario","Piston engines","Number","223","units","0","v41550939","1.14.3","34661","","","","0"
"1997","Canada","2016A000011124","Kitchener/Waterloo, Ontario","Helicopters","Number","223","units","0","v41550940","1.14.4","898","","","","0"
"1997","Canada","2016A000011124","Kitchener/Waterloo, Ontario","Gliders","Number","223","units","0","v41550941","1.14.5","158","","","","0"
"1997","Canada","2016A000011124","Langley, British Columbia","Jet engines","Number","223","units","0","v41550942","1.15.1","18","","","","0"
